name,squad,ageAvg,foreigners,marketValueAvg,totalMarketValue,rank,points,teamAverage,teamMatches,leagueName
Calcio Catania,37,26.5,12,€1.35m,€49.90m,15 ,43,-10,38,IT1
US Lecce,43,25.0,21,€1.06m,€45.78m,20 ,30,-30,38,IT1
Cagliari Calcio,36,24.1,6,€1.27m,€45.68m,9 ,53,-1,38,IT1
AC Siena,40,25.1,17,€1.13m,€45.30m,14 ,44,-11,38,IT1
Bologna FC 1909,34,28.3,7,€1.19m,€40.30m,17 ,37,-19,38,IT1
Chievo Verona,38,27.1,11,€1.01m,€38.25m,16 ,38,-14,38,IT1
Reggina Calcio,42,24.3,13,€854k,€35.85m,19 ,31,-32,38,IT1
FC Internazionale,48,25.4,31,€6.46m,€310.00m,1 ,85,43,38,IT1
AC Milan,41,27.1,18,€6.81m,€279.40m,5 ,64,28,38,IT1
AS Roma,37,25.7,19,€6.61m,€244.40m,2 ,82,35,38,IT1
Juventus FC,38,25.3,14,€6.23m,€236.85m,3 ,72,35,38,IT1
ACF Fiorentina,46,23.3,16,€3.73m,€171.35m,4 ,66,16,38,IT1
Udinese Calcio,49,22.7,24,€2.35m,€115.05m,7 ,57,-5,38,IT1
SS Lazio,40,26.1,15,€2.77m,€110.80m,12 ,46,-4,38,IT1
US Palermo,43,23.7,6,€2.44m,€104.80m,11 ,47,-10,38,IT1
SSC Napoli,30,26.8,9,€2.57m,€76.95m,8 ,50,-3,38,IT1
UC Sampdoria,41,24.3,8,€1.85m,€75.70m,6 ,60,10,38,IT1
Genoa CFC,45,24.9,17,€1.41m,€63.25m,10 ,48,-8,38,IT1
Torino FC,40,25.3,8,€1.50m,€60.05m,15 ,40,-13,38,IT1
Calcio Catania,40,27.0,11,€1.46m,€58.40m,17 ,37,-12,38,IT1
Atalanta BC,38,25.5,10,€1.44m,€54.80m,9 ,48,-4,38,IT1
Parma FC,41,25.5,7,€1.28m,€52.50m,19 ,34,-20,38,IT1
Empoli FC ,38,24.2,3,€1.30m,€49.50m,18 ,36,-23,38,IT1
AS Livorno,36,26.8,10,€1.34m,€48.35m,20 ,30,-25,38,IT1
Reggina Calcio,45,23.1,15,€983k,€44.23m,16 ,40,-19,38,IT1
AC Siena,42,25.9,18,€1.02m,€42.80m,13 ,44,-5,38,IT1
Cagliari Calcio,42,24.5,11,€981k,€41.20m,14 ,42,-16,38,IT1
AC Milan,43,27.0,16,€6.38m,€274.35m,4 ,61,21,38,IT1
FC Internazionale,58,23.8,31,€4.61m,€267.23m,1 ,97,46,38,IT1
AS Roma,40,24.7,17,€5.17m,€206.65m,2 ,75,40,38,IT1
ACF Fiorentina,38,24.1,15,€4.20m,€159.60m,6 ,58,31,38,IT1
US Palermo,52,23.8,8,€2.45m,€127.28m,5 ,58,7,38,IT1
SS Lazio,34,26.7,10,€3.10m,€105.35m,3 ,62,26,38,IT1
Udinese Calcio,52,21.9,25,€2.01m,€104.58m,10 ,46,-6,38,IT1
Chievo Verona,53,24.9,9,€1.58m,€83.50m,18 ,39,-10,38,IT1
UC Sampdoria,42,24.3,9,€1.65m,€69.45m,9 ,49,-4,38,IT1
AS Livorno,34,27.9,11,€2.01m,€68.33m,11 ,43,-13,38,IT1
Torino FC,37,28.9,7,€1.50m,€55.55m,16 ,40,-20,38,IT1
Atalanta BC,40,25.5,8,€1.34m,€53.48m,8 ,50,2,38,IT1
Reggina Calcio,43,24.1,7,€1.17m,€50.10m,14 ,40,2,38,IT1
Parma FC,38,24.2,8,€1.23m,€46.90m,12 ,42,-15,38,IT1
AC Siena,39,26.1,12,€1.18m,€46.08m,15 ,40,-10,38,IT1
Cagliari Calcio,35,24.9,5,€1.29m,€45.10m,17 ,40,-11,38,IT1
Empoli FC ,35,24.3,2,€1.27m,€44.30m,7 ,54,-1,38,IT1
FC Messina Peloro,46,26.5,12,€882k,€40.58m,20 ,26,-32,38,IT1
Calcio Catania,36,27.3,6,€1.07m,€38.60m,13 ,41,-22,38,IT1
Ascoli Calcio 1898,47,25.9,9,€549k,€25.80m,19 ,27,-31,38,IT1
Juventus FC,38,26.2,19,€13.08m,€497.18m,1 ,91,50,38,IT1
SSC Napoli,37,25.7,22,€10.47m,€387.38m,3 ,86,55,38,IT1
AS Roma,47,23.7,25,€7.55m,€354.68m,2 ,87,52,38,IT1
Inter Milan,41,25.4,29,€8.01m,€328.30m,7 ,62,23,38,IT1
AC Milan,42,24.9,21,€6.06m,€254.33m,6 ,63,12,38,IT1
SS Lazio,46,23.7,33,€4.92m,€226.45m,5 ,70,23,38,IT1
ACF Fiorentina,42,24.1,30,€5.17m,€217.08m,8 ,60,6,38,IT1
Torino FC,51,24.3,24,€3.18m,€162.35m,9 ,53,5,38,IT1
Atalanta BC,44,25.5,16,€3.68m,€161.70m,4 ,72,21,38,IT1
US Sassuolo,48,24.5,7,€3.03m,€145.25m,12 ,46,-5,38,IT1
UC Sampdoria,42,24.7,28,€2.80m,€117.58m,10 ,48,-6,38,IT1
Genoa CFC,44,25.8,23,€2.46m,€108.18m,16 ,36,-26,38,IT1
Udinese Calcio,44,24.5,34,€2.32m,€101.95m,13 ,45,-9,38,IT1
Bologna FC 1909,48,24.7,22,€1.98m,€95.00m,15 ,41,-18,38,IT1
Cagliari Calcio,46,24.7,17,€1.33m,€61.08m,11 ,47,-21,38,IT1
Empoli FC ,42,24.5,17,€1.32m,€55.45m,18 ,32,-32,38,IT1
Delfino Pescara 1936,50,24.7,19,€962k,€48.10m,20 ,18,-44,38,IT1
Chievo Verona,44,26.3,20,€1.04m,€45.88m,14 ,43,-18,38,IT1
US Palermo,39,24.4,23,€1.05m,€41.10m,19 ,26,-44,38,IT1
FC Crotone,37,25.0,12,€992k,€36.70m,17 ,34,-24,38,IT1
Juventus FC,36,26.5,15,€8.58m,€308.90m,20 ,0,47,38,IT1
AC Milan,36,27.4,17,€7.49m,€269.75m,3 ,58,54,38,IT1
FC Internazionale,52,24.9,31,€4.52m,€234.93m,1 ,76,38,38,IT1
AS Roma,42,23.8,12,€4.27m,€179.20m,2 ,69,28,38,IT1
ACF Fiorentina,43,25.9,15,€3.23m,€138.68m,9 ,44,25,38,IT1
US Palermo,43,24.8,7,€2.19m,€94.20m,5 ,52,-2,38,IT1
Udinese Calcio,45,24.4,17,€1.99m,€89.60m,11 ,43,-14,38,IT1
SS Lazio,50,25.4,14,€1.66m,€83.05m,16 ,32,10,38,IT1
